date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:54	83917/83917	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html	(from )
17:16:54	1166/1166	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Apr%202024%2015:21:58%20GMT	https://iamosahan.com/robots.txt		(from )
17:16:55	19903/19903	---M--	200	added ('OK')	image/png	etag:%224dbf-663db61f-8155ab23fb07af9b;;;%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/img/pages/icon.png	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/img/pages/icon.png	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:16:57	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2235e6c-663db61f-133c21f94092f6ff;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/bootstrap/css/bootstrap.min.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:00	111327/111327	---MCZ	200	added ('OK')	text/css	etag:W/%221b2df-663db61f-40b82e943e9937f4;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/icofont/icofont.min.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/icofont/icofont.min.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:01	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-663db61f-4df119cf99e666ac;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/aos/dist/aos.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/aos/dist/aos.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:02	120730/120730	---MCZ	200	added ('OK')	text/css	etag:W/%221d79a-663db61f-e18b36fb3dfb8717;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/remixicon/remixicon.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/vender/remixicon/remixicon.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:03	2307/2307	---MCZ	200	added ('OK')	text/css	etag:W/%22903-663db61f-c3e996239bca49a;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/css/style.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/css/style.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:04	7308/7308	---MCZ	200	added ('OK')	text/css	etag:W/%221c8c-663db61f-6702c59a41417242;br%22	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/css/common.css	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/css/common.css	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:04	72147/72147	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/about.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/about.html	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:05	72871/72871	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/products.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/products.html	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:05	100486/100486	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-accordions-toggles.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-accordions-toggles.html	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:05	97040/97040	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-tabs.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-tabs.html	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
17:17:06	81866/81866	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202024%2005:52:31%20GMT	https://iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-pagination.html	C:/Mes%20Sites%20Web/Casa%20Vogue/iamosahan.com/wrapbootstrap-pillarix/furnitore/elements/elements-pagination.html	(from https://iamosahan.com/wrapbootstrap-pillarix/furnitore/index.html)
