date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:03	67128/67128	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-10638%22	https://freshcart.codescandy.com/tailwindcss/dashboard/index.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/index.html	(from )
19:20:04	50/50	---MCZ	200	added ('OK')	text/plain	date:Thu,%2030%20Jan%202025%2013:50:04%20GMT	https://freshcart.codescandy.com/robots.txt		(from )
19:20:04	202889/202889	---M-Z	200	added ('OK')	text/css	etag:W/%2231889-Ou7GQ1DdJk+dqhQGpsDzGZkRHKs%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:04	3269/3269	---MCZ	200	added ('OK')	text/css	etag:W/%22677299c5-cc5%22	https://freshcart.codescandy.com/tailwindcss/assets/libs/simplebar/dist/simplebar.min.css	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/libs/simplebar/dist/simplebar.min.css	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:05	149753/149753	---MCZ	200	added ('OK')	text/css	etag:W/%22677299c4-248f9%22	https://freshcart.codescandy.com/tailwindcss/assets/css/theme.min.css	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/css/theme.min.css	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:05	13365/13365	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-3435%22	https://freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-1.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-1.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:06	11710/11710	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-2dbe%22	https://freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-5.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-5.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:06	15809/15809	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-3dc1%22	https://freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-2.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/avatar/avatar-2.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:06	95220/95220	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-173f4%22	https://freshcart.codescandy.com/tailwindcss/dashboard/products.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/products.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:07	89464/89464	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-15d78%22	https://freshcart.codescandy.com/tailwindcss/dashboard/categories.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/categories.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:07	83115/83115	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-144ab%22	https://freshcart.codescandy.com/tailwindcss/dashboard/order-list.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/order-list.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:07	60907/60907	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-edeb%22	https://freshcart.codescandy.com/tailwindcss/dashboard/order-single.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/order-single.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:08	61534/61534	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-f05e%22	https://freshcart.codescandy.com/tailwindcss/dashboard/vendor-grid.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/vendor-grid.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:08	108375/108375	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-1a757%22	https://freshcart.codescandy.com/tailwindcss/dashboard/customers.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/customers.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:08	56031/56031	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-dadf%22	https://freshcart.codescandy.com/tailwindcss/dashboard/create-customers.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/create-customers.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:09	104613/104613	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-198a5%22	https://freshcart.codescandy.com/tailwindcss/dashboard/customers-edits.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/customers-edits.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:09	124512/124512	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-1e660%22	https://freshcart.codescandy.com/tailwindcss/dashboard/reviews.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/reviews.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:10	94235/94235	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-1701b%22	https://freshcart.codescandy.com/tailwindcss/dashboard/blog-grid.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/blog-grid.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:10	95802/95802	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-1763a%22	https://freshcart.codescandy.com/tailwindcss/dashboard/blog-list.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/blog-list.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:10	59703/59703	---MCZ	200	added ('OK')	text/html	etag:W/%22677299c5-e937%22	https://freshcart.codescandy.com/tailwindcss/dashboard/blog-new-post.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/blog-new-post.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:11	65417/65417	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-ff89%22	https://freshcart.codescandy.com/tailwindcss/assets/images/slider/slider-image-1.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/slider/slider-image-1.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:11	80721/80721	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677299c5-13b51%22	https://freshcart.codescandy.com/tailwindcss/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/libs/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:12	27057/27057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677299c5-69b1%22	https://freshcart.codescandy.com/tailwindcss/assets/libs/simplebar/dist/simplebar.min.js	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/libs/simplebar/dist/simplebar.min.js	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:12	3461/3461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677299c4-d85%22	https://freshcart.codescandy.com/tailwindcss/assets/js/theme.min.js	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/js/theme.min.js	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:13	2278/2278	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677299c4-8e6%22	https://freshcart.codescandy.com/tailwindcss/assets/js/vendors/chart.js	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/js/vendors/chart.js	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:13	533934/533934	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677299c5-825ae%22	https://freshcart.codescandy.com/tailwindcss/assets/libs/apexcharts/dist/apexcharts.min.js	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/libs/apexcharts/dist/apexcharts.min.js	(from https://freshcart.codescandy.com/tailwindcss/dashboard/index.html)
19:20:14	2167436/2167436	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2221128c-wxUMawoLYUfIdFVK0MibCcGgalU%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons.eot?v2.46.0	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons78b2.eot	(from https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css)
19:20:14	2167436/2167436	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2221128c-wxUMawoLYUfIdFVK0MibCcGgalU%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons.eot?	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-iconsd41d.eot	(from https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css)
19:20:14	775804/775804	---M--	200	added ('OK')	font/woff2	etag:W/%22bd67c-3PQZDI3ks2NE4rlGPhmVaSA5vaI%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons.woff2?v2.46.0	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons78b2.woff2	(from https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css)
19:20:15	1097320/1097320	---M--	200	added ('OK')	font/woff	etag:W/%2210be68-XIsinX7G/Xv6HEyVqw8vX1ebCoM%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons.woff?	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-iconsd41d.woff	(from https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css)
19:20:16	2167252/2167252	---M-Z	200	added ('OK')	font/ttf	etag:W/%222111d4-mhLT8fGRhWqFV6KZdjmQRSaJ9mQ%22	https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons.ttf?v2.46.0	C:/Mes%20Sites%20Web/admin-furniture/cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/fonts/tabler-icons78b2.ttf	(from https://cdn.jsdelivr.net/npm/@tabler/icons-webfont@2.46.0/tabler-icons.min.css)
19:20:16	83800/83800	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jan%202025%2013:50:16%20GMT	https://freshcart.codescandy.com/tailwindcss/dashboard/add-product.html	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/dashboard/add-product.html	(from https://freshcart.codescandy.com/tailwindcss/dashboard/products.html)
19:20:17	8176/8176	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-1ff0%22	https://freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-1.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-1.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/products.html)
19:20:17	6728/6728	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-1a48%22	https://freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-2.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-2.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/products.html)
19:20:17	7318/7318	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-1c96%22	https://freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-3.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-3.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/products.html)
19:20:18	7644/7644	---M--	200	added ('OK')	image/jpeg	etag:%22677299c4-1ddc%22	https://freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-4.jpg	C:/Mes%20Sites%20Web/admin-furniture/freshcart.codescandy.com/tailwindcss/assets/images/products/product-img-4.jpg	(from https://freshcart.codescandy.com/tailwindcss/dashboard/products.html)
